,tickers,company overview
511,001430,"1955년 4월 5일에 설립되어 1991년 한국거래소 유가증권시장에 상장하였고, 2003년 12월 세아그룹에 편입함. 탄소합금 특수강을 주력으로 생산, 판매하는 세아베스틸과 스테인리스 특수강을 주사업으로 영위하는 종속회사 세아창원특수강, 세아항공방산소재 등으로 구성된 철강 전문회사임. 2020년 9월 해외(중국)자회사 SeAH CTC CO.,Ltd.을 설립 출자함."
512,306200,"동사가 영위하는 강관부문은 건설, 조선, 자동차, 기계, 에너지 등 산업 전반에 걸쳐 사용되고 있음. 단일 사업부문으로 배관용, 유정용, 구조용 등에 사용되는 강관 제품을 생산 및 판매함. 주요 매출처로는 건설사, 철강 유통사, EPC업체, 해외판매법인 등이 있음. 서울에 위치한 본사와 포항의 R&D센터를 포함하여 4개 공장을 보유하고 있으며, 미래성장동력 확보를 위해 지속적인 R&D와 기존설비 개선에 투자를 지속하고 있음."
513,003030,"공정거래법상 세아제강, 세아씨엠, 세아스틸인터내셔날, 에스에스아이케이 등 4개 자회사를 두고 있으며, 해외계열사를 포함해 총 18개의 종속회사를 두고 있음. 순수지주회사로서 주요 수입원은 자회사 및 기타투자회사로부터 받는 배당수익과 SeAH 브랜드를 소유하며 사용자로부터 상표권 사용 수익을 수취하고 있음. 주력인 강관부문은 강관제조 및 판매사업을 영위하고 있으며, 배관용, 유정용, 구조용 등에 사용되는 강관 제품을 생산함."
514,019440,"동사는 냉간압조용 선재 및 마봉강의 제조 및 판매 목적으로 1986년 11월 1일 설립되었음. 주요 사업은 냉간압조용 선재와 봉강 등 선재 사업부문과 Rack Bar를 생산 및 판매하는 자동차부품 사업부문으로 나눠져 있음. 자동차, 전자, 산업기계, 건설, 조선 등 다양한 전방산업에 공급되는 기초소재를 생산하며 주 수요산업인 자동차산업의 업황에 영향을 많이 받음."
515,058650,"동사는 2001년 세아제강지주의 투자사업부문과 임대사업부문의 인적분할 방식으로 분할신설되어, 현재 세아그룹의 지주회사업을 영위하고 있음. 2024년 3월 현재 동사를 포함하여 총 27개의 국내계열회사를 가지고 있으며, 이 중 동사를 모회사로 하는 국내 자회사는 총 8개사임. 주요종속회사로는 세아베스틸지주, 세아베스틸, 세아창원특수강, 세아특수강, 세아엠앤에스 등이 있음."
516,013000,"동사는 SABIC INNOVATIVE PLASTICS 국내대리점 및 SOLVAY, BASF 등 많은 업체와 플라스틱원료의 도,소매사업을 영위하고 있음. 세계적인 플라스틱생산업체인 SABIC INNOVATIVE의 국내 대리점임. 세계 유수의 생산업체들인 INEOS STYROLUTION, BASF, POLYPLASTICS, DSM, TRINSEO, SIBUR 등 많은 업체와 거래하고 있음."
517,091090,"동사의 사업은 플랜트 화공기기제작을 영위하는 화공사업과 유공압기기 제작판매를 영위하는 PL (Power Limb)사업으로 나뉨. 화공사업은 사업의 특성상 해외수주가 많아 매출에서 수출이 차지하는 비중이 높음. 유공압을 응용한 사업 다각화의 추진결과 공작기계, 산업용 특장부문, 자동차 설비부문, 선박기계, 제철 및 제강설비, 자동화 설비 등의 산업용 유압기기 분야를 담당."
518,021820,"동사는 자동차부품 전문생산업체로 현대자동차 및 현대계열회사의 여러 차종에 대한 부품개발 참여 및 양산 납품을 하고 있음. 주요 생산품목은 FRONT SIDE MEMBER, COWL CROSS MEMBER, DASH PANEL, RADIATOR SUPPORT 등의 차체제품이 있음. 자동차 차체부품이 매출의 100%이며, 주요판매처로 현대자동차, 현대모비스, 북경현대, 북경모비스, 덕양산업, 기아 등이 있음."
519,067830,"동사는 백화점형 할인점 등을 영위할 목적으로 한신공영의 유통사업 부문을 인적분할하여 2002년 5월 설립되었음. 국내 총 6개 점포의 백화점형 할인점 등을 운영하여 의류 브랜드의 이월상품 및 기획상품등을 상시 할인 판매하고 있으며, 의류, 식품, 생활용품등의 상품구성과 문화센터, 스포츠센터 등 편의시설을 운영함. 생활에 필요한 전체적인 상품구성을 통하여 대단위 아파트 주거단지를 배후로 지역 밀착형 판매전략을 구사하고 있음."
520,075580,"동사는 1999년 설립되어 선박 구성부분품(조선기자재) 제조업과 플랜트 사업을 영위하고 있음. 사업부문은 크게 조선부문과 플랜트부문으로 이루어져 있으며 선원 주거공간인 데크하우스, 독립형 가스 탱크에 특화되어 있음. 플랜트 사업은 2022년 매출 발생 이후 현재는 수주가 따로 진행되고 있지는 않음. 원산공장의 선박 구성부품 생산능력은 고객사 완성선 기준으로 1년동안 데크하우스는 92척, 가스 탱크는 30척 수준임."
521,068270,"동사는 1991년 생명공학기술 및 동물세포대량배양기술을 기반으로 설립되어 2018년 유가증권시장에 상장됨. 항체의약품을 개발, 생산하는 것을 주요 사업으로 하며 램시마, 트룩시마, 허쥬마 등 6개의 바이오시밀러와 신약 짐펜트라를 보유하고 있음. 바이오의약품 외에도 케미컬 의약품으로 포트폴리오를 다각화하고 직접판매 방식으로 전환하며 글로벌 종합제약회사로 성장하고 있음."
522,336370,"동사는 두산 전자BG에서 인적분할되어 2020년 12월 솔루스첨단소재로 상호명을 변경하였음. 전지박 사업부문(전지박, 동박)은 해외자회사를 통해 개발, 제조 및 판매 사업 영위 중임. 첨단소재 사업부문(전자소재)는 OLED 소재의 개발, 제조 및 판매 사업 영위 중. 주요 제품군은 전기차 배터리·ESS에 쓰이는 전지박, AI가속기·PCB·반도체용 패키지 등에 사용되는 동박, OLED 디스플레이용 소재 등임."
523,33637K,Company overview not found on the webpage.
524,33637L,Company overview not found on the webpage.
525,248070,"동사는 전자기기 부품의 연구개발 및 제조를 주요 사업으로 영위함. 사업부문은 크게 2개로 구성되는데, 파워모듈, 3IN1보드 등을 생산/판매하는 전자부품 사업부문과 ESL, IoT 등을 생산/판매하는 ICT 사업부문으로 구성됨. 본사에서 보유하고 있는 개발기술 및 지적재산권을 기반으로 하여 중국, 베트남, 멕시코, 인도 등 해외에 종속회사를 두고 각종 전자부품의 생산/판매를 하고 있음."
526,004430,"동사는 1965년 화학제품의 제조, 가공 및 판매를 위해 송원산업주식회사로 설립되었으며, 1977년 유가증권시장에 상장됨. 동사의 주사업은 폴리머 안정제 및 코팅제, 연료첨가제 등 화학제품 제조, 가공 및 판매이며, PVC안정제, 가소제, 고흡수성수지 등 합성수지 사업 또한 영위 중임. 폴리머안정제는 OLEFIN계 및 STYRENE계 수지 등에 사용되고 있으며, 동사가 20% 이상의 세계시장 수요점유율을 차지하고 있음."
527,126720,동사는 1983년 4월 16일 건설공사 경상정비 사업을 영위할 목적으로 설립되었음. 2001년 민간 발전설비 정비업체 육성정책이 시행되면서 사업방향을 기존 건설공사에서 발전설비 정비로 변경함. 국내외 전력 발전소 설비의 안정적인 생산성 향상과 원활한 운전을 위한 다양한 형태의 정비 서비스를 제공함. 민간정비업체로는 유일하게 가동원전 원자로를 점검정비한 경험을 바탕으로 원자력 사업부문에서 가장 큰 매출을 발생시키고 있음.
528,017550,"동사의 어태치먼트 사업부문 장비특성은 굴삭기에 장착, 유압의 힘을 이용하여 암반이나 콘크리트면을 파쇄하는 것으로 지하철공사 등에서의 암반파쇄 작업과 콘크리트 구조물 해체작업에 사용되고 있음. 동사의 특수장비 사업부문은 크레인, 유압드릴(댐공사, 공항 항만건설 등에서의 천공작업에 쓰임), 벌크트레일러(곡물 또는 유류 운반에 이용됨)으로 구분됨. 종속회사 SOOSAN USA는 건설장비 도소매를 영위. 주력은 유압브레이커 판매."
529,053210,"동사는 2001년 1월 위성방송서비스를 목적으로 설립되었으며, 국내 최초로 H.264 기반의 다채널 HD를 사업화하여 국내 HD방송서비스 시장을 선도하고 있음. 연결회사인 케이티스카이라이프는 위성방송서비스사업, 에이치씨엔은 유선방송서비스사업, 스카이라이프티브이는 방송사업을 영위함. 스카이라이프티브이는 ENA, ENA PLAY, ONCE, OLIFE, skyUHD, 키즈톡톡플러스 등의 직접채널 운영하고 있음."
530,204210,Company overview not found on the webpage.
531,026890,"사모펀드(PEF) 운용사 최초로 유가증권시장에 상장하였으며, 2021년 12월 17일 합병을 통해 상호를 변경하였음. 변경전 상호는 '디피씨주식회사'임. 동사는 사모투자 사업을 영위하는 회사로서, 자본시장과 금융투자업에 관한 법률에 의거 금융감독원에 등록된 기관전용 사모집합투자기구 운용회사임. 사모펀드 및 벤처투자 운용사의 주된 수입원은 관리보수와 성과보수, 그리고 자기자본 투자수익으로 이루어져 있음."
532,134790,"동사는 2010년 12월 15일에 설립되었으며 의자가구 제조업을 주요 사업으로 영위하고 있음. 생산된 주요 제품 등은 대리점, 백화점, 대형마트, 온라인쇼핑몰, 에이전트 등의 판매 경로를 통하여 국내외로 판매되고 있음. 현재 국내 의자 시장 점유율 및 브랜드 인지도 1위의 기업으로 자리잡았으며, 디자인과 기술력으로 차별화된 제품을 국내 의자 시장에 지속적으로 선보이고 있음."
533,462870,"게임 개발을 주요 사업으로 영위하는 글로벌 게임 개발사로, 동사가 개발한 게임을 글로벌 퍼블리셔를 통해 국내 및 해외에 서비스하고 있음. 대표 게임 타이틀이자 주요 매출원으로는 <승리의 여신: 니케>와 AAA급 콘솔 게임 <스텔라 블레이드> 등의 게임 IP로 구성되어 있음. 신규 IP의 개발 및 확보를 통한 게임 포트폴리오 다각화를 진행하고 있으며, 그 밖에 보유 IP를 활용한 IP 비즈니스를 단계적으로 확대해 나갈 예정임."
534,016590,"골판지 원지 제조 및 판매를 영위할 목적으로 1982년 12월 17일 설립되었고, 크라프트 라이너지, 테스트 라이너지 및 골판지용 골심지등 골판지용 원지 전지종을 생산, 판매하고 있음. 동사는 골판지 원지와 골판지 상자 부문으로 사업영역이 구분되어 있으며 골판지 원지 부문을 동사와 종속회사인 대양제지공업, 신대양제지반월이 영위하고 있음. 종속회사인 대양제지공업㈜는 2024년 6월 21일 기준으로 상장폐지 되었음."
535,029530,"1960년 7월 7일에 신도교역 주식회사로 설립되었으며, 1996년 12월 24일 유가증권시장에 상장함. 국내에 복사기, 팩시밀리를 최초로 소개하고 사무기기 업계를 이끌어옴. 동사와 연결종속회사는 복합기(MFP), 프린터, 소모품을 제조, 판매하는 사업을 영위하는 제조/판매부문으로 단일 구성되어 있음. 동사는 복합기, 프린터를 중심으로 정보통신과 시스템 비즈니스까지 사업영역을 확대해 가고 있음."
536,004970,"동사는 원양어업부문, 수산물유통부문, 철강사업부문, 농산물중개부문, 농산물중개부문, 기타사업부문을 영위하고 있음. 원양어업부문에서는 중서부태평양에서 참치를 어획하여 판매하는 사업으로, 조업방법에 따라 횟감용 참치를 어획하는 참치연승어업과 통조림용 참치를 어획하는 참치선망어업이 있음. 철강사업부문은 국내에서는 포스코, 현대제철의 철강제품을 해외에서는 중국, 일본, 인도 등에서 철강제품을 매입하여 판매하고 있음."
537,011930,"동사는 FFU/EFU, 클린룸 및 공조시스템, 드라이룸 등 제조, 설치공사을 영위하는 클린환경 사업부문 그리고 태양광 관련 제품, 시스템 및 상품을 영위하는 재생에너지 사업부문을 보유. 또한 임대, 용역, 서비스를 영위하는 기타 사업부문이 있음. 2022년 5월에는 미국 애틀랜타에 반도체 및 이차전지 관련 수주를 위해 현지 법인을 추가로 설립하였으며, 2024년 5월과 7월 스페인과 캐나다에 각각 현지 법인 설립 완료"
538,005390,"동사는 1968년 설립된 이후 니트의류 수출기업으로서 주문자상표부착(OEM)방식의 수출을 통해 성장하였음. 현재 Target, WalMart 등 대형 Buyer 위주로 영업을 전개하고 동사의 핵심 생산기지인 Nicaragua 중남미 현지법인과 더불어 Indonesia 에 소재한 현지법인에 대규모 신·증설을 추진함. OLZEN, ZIOZIA, ANDZ, EDITION ANDZ, TOPTEN10 브랜드를 영위함."
539,004170,"동사는 1955년 동화백화점으로 설립되어 1985년 유가증권시장에 상장되어 매매가 개시됨. 사업 영역은 백화점사업, 패션 및 라이프스타일, 화장품 제조 및 도소매사업, 면세점사업, 부동산 및 여객터미널업, 관광호텔업, 가구소매업으로, 영상컨텐츠사업, 벤처캐피탈사업으로 세분화 됨. 신세계센트럴시티, 신세계동대구복합환승센터, 신세계인터내셔날, 까사미아, 서울고속버스터미널 등을 연결대상 종속회사로 보유함."
540,035510,"1997년 4월 29일에 설립되었으며, 수익 발생 기준으로 IT서비스, IT유통, 플랫폼 등 3개의 사업부문을 운영하고 있음. IT서비스는 크게 시스템 운영(SM) 및 시스템개발과 통합(SI), 클라우드, 디지털 공간 서비스, AI 등과 함께 전기차 충전 서비스 사업 등으로 구분됨. 유통부문은 IT관련 장비 및 솔루션 유통, 각종 디바이스 IT기기 유통으로 구성됨."
541,034300,"동사는 1991년 3월 20일에 회사가 설립되었으며, 당사의 주식은 1999년 6월 23일 코스닥시장, 2002년 6월 17일 유가증권시장에 상장함. 동사의 건설부문은 백화점/할인점/아울렛몰 등 대형판매시설의 건설, 오피스/오피스텔/주거시설의 신축을 주된 사업의 영업기반으로 삼고 있음. 월별로는 5월, 6월, 10월 이용객수가 가장 많은 성수기이며, 야외 스포츠의 특성상 1월과 2월은 추위와 눈으로 인하여 비수기임."
542,031430,"1980년 10월 25일 설립된 한국유통산업연구소가 1996년 주식회사 신세계인터내셔날로 사명을 변경하였음. 신세계 그룹 내 종합생활문화기업으로서 해외 유명 패션 브랜드를 국내에 직수입하여 우량 유통채널을 통해 판매하고, 여성복 등 캐주얼 브랜드, 라이프스타일 브랜드를 기획, 유통함. 해외 럭셔리 및 자체 코스메틱 브랜드를 기획, 생산, 유통하는 코스메틱부문에서도 사업을 전개 중."
543,031440,"식품 제조, 식자재 유통, 급식서비스, 베이커리, 외식사업을 펼치는 신세계그룹의 종합식품기업. 자체 브랜드 HMR 상품을 제조-판매, 외식 가맹 사업, 베이커리 사업, 단체급식 서비스를 제공하며 대한민국 푸드 서비스 시장을 개척함. 신세계푸드 HMR 브랜드 '올반'의 제품을 직접 개발하며 생산하고 있으며, '노브랜드 버거'로 대표되는 외식 가맹사업을 통해 국내 프랜차이즈 시장의 새로운 트랜드를 제공함."
544,006880,"동사는 2010년 6월 부로 '신송식품홀딩스'를 흡수합병하면서 존속회사는 '신송홀딩스'로 상호를 변경하여 현재 지주회사 체제로 전환함. 순수지주회사로서 보고서 작성 기준일 현재 해외법인을 포함하여 4개의 자회사(신송식품,신송산업,Singsong (HK), Singsong Global Singapore Pte) 보유함. 투자사업부문, 식품사업부문, 해외사업부문, 투자부동산부문, 소재수업부문 등이 있음."
545,005800,"동사는 여성내의류를 전문으로 생산, 판매하고 있으며 제품 매출의 대표 브랜드는 비너스, 와코루, 솔브, 마더피아, 자스민, 아르보, 리맘마, 아네타등이 있음. 또한, 여성스타킹 등의 상품을 판매하고 있으며 그 밖에 임대수익이 있음. 회사의 대표적인 브랜드라 할 수 있는 비너스는 1999년 부터 2024년에 걸쳐 한국능률협회가 선정하는 브랜드파워(K-BPI) 부문에서 26년 연속 브랜드파워1위 수상."
546,001720,"동사는 1956년 설립되어 증권, 장내외 파생상품 등의 투자매매업 및 투자중개업, 신탁업, 투자자문업, 투자일임업 등을 영위하고 있으며, 현재 본점 포함 9개 지점을 운영하고 있음. 종속기업으로는 신영자산운용과 2019년 10월에 본인가를 취득한 신영부동산신탁 등이 있음. 다변화된 수익 구조와 체계적인 리스크 관리, 선제적 시장 대응 능력 등을 통해 안정적인 수익모델을 공고히 하고, 차별화된 경쟁력 확보에 힘쓰고 있음."
547,009270,"동사는 KNIT, SWEATER를 OEM/ODM 생산하여 수출하는 수출부문과 패션 브랜드 사업을 전개하는 패션부문을 보유. GAP, WAL-MART, TARGET 등 약 10여개 고정바이어를 확보함. 이탈리아 럭셔리 브랜드 까날리(CANALI)와 스트리트 럭셔리 캐주얼 GCDS와 국내 독점 유통 및 영업권을 획득하여, 2024년 상반기부터 사업을 전개할 예정."
548,002700,"동사는 1959년 설립되어 종합가전 생산 및 판매업을 주요사업으로 함. 하이마트, 이마트, 홈플러스, 농협하나로 마트 등 거의 대부분의 대형유통할인점에 납품이 이루어지고 있으며 지역 소재 대리점은 당사와 오랫동안 거래하고 있는 대리점으로 구성. 계절 상품이 차지하는 비중이 연간 매출액의 80%이상을 차지하며 OEM 도입제품 중 일정 규모 이상 판매가 가능한 제품에 대해 자체 제조를 검토하여 수익성 창출을 모색하고 있음."
549,002870,"동사는 지류 유통 판매업을 주된 사업으로 영위하고 있음. 연결 종속회사는 에스피모터스(수입자동차 판매), 꿈의실현1331(학원업), 다웅(오디오,필터 수입 및 판매업)으로 총 3개사로 이루어짐. 신규사업으로 M&A를 지속적으로 검토 중임. 평택공장 부지가 한국토지주택공사에 수용돼 2019년 12월 말 부로 평택공장에서 조업을 중단함에 따라 2020년 1월부터 유통업으로 업종을 변경함."
550,019170,"1962년 6월 5일 의약품 제조를 목적으로 설립되었으며 1990년 1월 20일에 유가증권시장에 상장됨. 동사의 주요 목적사업은 완제의약품 및 원료의약품 등의 제조 및 판매이며, 해외현지법인을 비롯한 해외 약 50여개국에 제품 및 원료를 판매하고 있음. 전문의약품 중심의 영업을 펼치고 있으며 진통소염제 록스펜정, 관절염치료제인 하이알주 등을 위시하여 항생제 및 순환기제품 등을 병의원에 집중판매하고 있음."
551,019175,Company overview not found on the webpage.
552,481850,Company overview not found on the webpage.
553,404990,Company overview not found on the webpage.
554,293940,Company overview not found on the webpage.
555,055550,"동사는 신한금융 계열사에 대한 지배/경영관리, 종속회사에 대한 자금지원 등을 주요 사업목적으로 2001년 설립된 금융지주회사임. 종속회사의 주요 사업부문은 은행업, 신용카드업, 금융투자업, 생명보험업, 자산운용업, 여신전문업, 저축은행업 등이 있음. 신한은행 외에도 전반적으로 우수한 자회사 사업 지위를 토대로 한 균형 있는 사업포트폴리오 기반의 안정적인 이익창출력 유지 중임. 21년 1월 신한자산운용을 완전자회사로 편입함."
556,004080,"동사는 치과용기자재의 제조 및 도소매를 목적으로 1964년 11월 13일에 설립되었으며, 1991년 유가증권시장에 상장함. 치과의료기기 제조 및 유통 전문업체로써 주요 제품은 치과용진료대, 치과용합금, 치과용 X선촬영기, 공기압축기 등이 있음. 전국 지점,유통,A/S망과 제조공장, 물류센터 등을 갖추고 효율적인 경영활동과 고객 서비스 제공이 될 수 있도록 사업을 전개함."
557,102280,"동사는 섬유류(내의류 및 의류)의 제조 및 유통업을 영위하고 있으며, 중국 길림에 길림트라이방직 유한공사 외 2개의 현지생산법인 및 중국 북경과 상해, 심양에 판매 법인을 두고 있음. 사업영역은 크게 제조, 도소매업으로 나눌 수 있으며  제조업으로는 국내의재단 수주 가공 사업을 영위하고 있고, 도소매업으로는 내의류를 주력 중심으로 국내외 사업을 영위하고 있음."
558,004770,"동사는 기초 소자인 수정 단결정 특유의 압전 효과를 이용, 주파수를 발생시키거나 특정 주파수 대역의 신호만을 걸러주는 필터 역할을 하는 수정진동자 및 응용제품 등 정밀공업용제품을 제조/판매하고 있음. 수정진동자의 경우 주요 고객은 삼성전자, 엘지전자 등 국내 주요 세트업체임. 연결회사의 사업부문은 수정진동자사업부문 단일의 사업부문으로 사모투자신탁 2개사는 금융투자업을 영위(사모 펀드)하고 있음."
559,403550,"동사는 2011년 10월 31일 설립되었고, '모든 사람이 자유롭고 행복하게 이동하는 세상을 만듭니다'라는 미션 아래 전국 규모의 카셰어링 사업을 영위하고 있음. 카셰어링은 언제 어디서나 10분 단위로 원하는 만큼 원하는 차량을 대여하여 사용할 수 있는 쏘카의 주력 서비스임. 2024년 누적 회원 1,000만명을 돌파하여 국내 No.1 카셰어링 서비스의 입지를 더욱 공고히 했음."
560,004920,"동사는 2015년 3월 키오스크의 개발, 제조 및 판매업을 주된 사업으로 하는 씨아이테크를 흡수합병함에 따라 2015년 4월에 상호를 삼영홀딩스에서 씨아이테크로 변경하였음. 동사의 주사업부문은 IT와 유통 및 부동산으로 구성되어 있음. 특히 IT사업부문은 자동증명발급기, 티켓발권기, 디지탈 광고 KIOSK, 디지탈 안내 KIOSK , 하이파이 오디오, 통신미디어 제품 등을 제조, 판매하는사업을 활발하게 전개중임."
561,112610,"동사는 2006년 설립되었으며, 2014년 유가증권시장에 상장하였음. 동사와 연결종속회사는 풍력타워 생산 및 타워내부 부품, 베어링 등 풍력타워 부품 생산과 해상풍력 하부구조물 생산사업을 운영하고 있음. 동사는 한국 본사를 기반으로 베트남, 미국, 포르투갈, 중국, 터키, 대만, 말레이시아에서 풍력타워 생산법인을 운영하며 유럽, 미국, 아시아 등 전세계 시장에 육상 및 해상 풍력타워를 공급, 납품하고 있음."
562,308170,"동사는 구동장치, 현가장치를 생산 및 납품하는 자동차 부품 사업을 영위하고 있음. 울산공장(본사), 대구공장, 서산공장의 생산시설을 운영하고, 종속회사인 주식회사 씨티알에코포징의 밀양공장을 보유함. 구동부품인 로터샤프트, 이너레이스, 오디 클러치보스, 볼스크류, 프로펠라샤프트, 현가부품인 엑슬 등과 종속회사의 현가부품인 컨트롤 암을 현대차그룹과 자동차 부품업체 및 해외 완성차 업체에 납품하고 있음."
563,008700,"동사는 홈오디오 제품인 AV 서라운드 리시버, 스트레오 리시버, BT Speaker, Wifi 및 에이아이 스피커, AI Soundbar를 개발, 생산 및 판매함. 또한 ATMOS 사운드바, OTT Soundbar  등을 개발, 생산 및 판매함. 오디오 사업부문 이외에 신규사업으로 피트니스 부품(전자기판 등), 전자악기 부품(음향조절기기 등) 비지니스를 시작하였고, 부품 판매, 부동산 임대사업을 영위하고 있음."
564,002790,"동사의 주요 종속회사는 아모레퍼시픽, 이니스프리, 에뛰드, 아모스프로페셔널, 에스쁘아, 오설록, 농업회사법인 오설록농장, 코스비전 등이 있음. 프리미엄 시장에서 ‘마몽드’는 플라워 스토리를 체험할 수 있는 플래그십 스토어 오픈을 통하여 고객에게 차별화된 브랜드 경험을 제공하고 있음. 생활용품부문의 오랄 카테고리에서 자연주의 덴탈케어 브랜드 ‘플레시아’를 출시하여 고객 저변을 확대하고있음."
565,00279K,Company overview not found on the webpage.
566,002795,Company overview not found on the webpage.
567,090430,"동사는 2006년 아모레퍼시픽그룹을 인적분할하여 설립한 화장품 제조 기업으로 화장품 및 생활용품의 제조와 판매 등을 영위함. 사업부문은 크게 화장품 사업부문과 DB(Daily Beauty) 사업부문으로 구분되어 있으며 화장품 사업부문은 설화수, 헤라, 라네즈, 아이오페, 에스트라 등 럭셔리 및 프리미엄 브랜드 포트폴리오 지니고 있음. DB 사업부문은 려, 미쟝센, 해피바스, 일리윤 등 생활용품 브랜드로 사업을 전개하고 있음."
568,090435,Company overview not found on the webpage.
569,002030,"동사는 지주회사로 종속회사가 영위하는 사업으로는 시멘트, 제지, 기타사업으로 분류되며 시멘트 사업 부문은 시멘트와 레미콘, 몰탈 등을 제조해 판매함. 제지 사업 부문은 골판지원지, 골판지원단 및 상자 등을 만들어 판매하며 기타 부문은 창업투자업, 농작물재배 및 판매, 부동산임대 및 공원관리운영 등을 담당함. 시멘트사업, 제지사업 순으로 영업수익에서의 기여도가 높음."
570,183190,"동사는 2013년 10월 1일에 인적분할을 통하여 시멘트의 제조, 판매 등을 주 영업목적으로 설립됨. 시멘트 제조에 필수적인 석회석을 향후 140여년 이상 채광할 수 있는 풍부한 매장량과 양질의 석회석 광산을 보유하고 있으며, 초고층 건물에 적합한 고유동 시멘트의 생산으로 기술과 품질 우위에 있음. 산학연대를 통한 제품개발을 통해 시멘트 업계에서 기술우위를 바탕으로 한 선도기업으로 역할을 하고 있음."
571,002310,"동사는 1958년 설립돼 1988년 유가증권시장에서 주식이 거래되기 시작함. 지류 제조 및 판매업, 수출입업 등을 주요사업으로 영위함. 종속기업인 경산제지, 제일산업, 유진판지, 에이팩, 에이피리싸이클링이 영위하는 골판지와 골판지상자 관련 산업은 골판지원지가 주 원재료. 거액의 투자비가 소요되는 자본집약적 대형 장치산업임. 생산 시설은 국내 세종, 시화, 화성, 안성, 광주 등에 위치."
572,012170,"동사는 1977년에 설립되어 현재 영화의 투자 제작배급, 드라마 기획개발 제작 등을 영위하는 종합 엔터테이먼트 회사임. 과거 주력사업이던 영화 외에도 드라마, 예능, 공연, 전시 등 상호간 시너지를발생 시킬 수 있는 사업 진행을 통해 선순환 구조를 구축함. 급변하는 콘텐츠 시장에 대응해 영화 및 드라마 사업부문에서 양질의 콘텐츠 투자/제작/유통을 진행중에 있음."
573,267850,"동사는 2003년 2월 모회사인 아시아나항공의 정보통신사업부를 영업 양수. 이후 아시아나아이디티로 사명을 변경 후 현재까지 IT 서비스 사업을 영위하고 있음. 자체 데이터센터를 기반으로 고객사에 안정적이고 효율적인 IT인프라 서비스를 위하여 인프라 컨설팅, 인프라 설계 및 구축, 클라우드 서비스, 데이터센터 통합 운영 및 전산시설 환경 안전진단 서비스 제공. 주요 고객사는 아시아나항공, 에어부산, 에어서울, 인천국제공항공사 등."
574,020560,"항공운송업은 그 시장의 성격이 매우 상이한 여객과 화물로 나뉘어져 있음. 아시아나항공 등 항공 3사 및 국내 양대 공항공사의 시스템 구축 및 운영 노하우를 기반으로 대외 사업을 영위하고 있으며, 항공/공항IT 전문기업으로서 높은 시장 지위를 확보함. 아시아나항공은 국내여객 6개 도시, 7개 노선, 국제여객 22개 국가, 57개 도시, 62개 노선과 국제화물 12개 국가, 25개 도시, 21개 노선의 네트워크를 보유함."
575,122900,"동사는 구매 전문성과 프로세스 효율화를 통해 고객의 시간과 비용을 절감해주는 B2B 구매서비스 기업임. MRO 구매대행 사업을 기반으로 IT, 건자재 등 다양한 전문 유통 사업과 헬스케어 분야로 진출하면서 산업 전 분야로 사업을 확대하고 있음. 사업부문은 크게 산업재 B2B 전자상거래업과 의약품 및 의료용품 도매업으로구성되며, 외화의 수입과 지출에 따른 환리스크를 관리하기 위해 외환관리지침을 제정하고 관리부서를 지정하여 운영함."
576,010780,"동사 및 종속회사는 콘크리트사업부문, 건설사업부문, 환경사업부문, 기타사업부문으로 구성되어 있음. 주요 사업인 콘크리트사업부문은 PHC PILE, Ext PILE 외 건축자재를 생산 ·판매하며, 건설사업부문은 건축, 토목공사를 바탕으로 아파트 및 상가를 공급하고 있음. 또한 환경사업부문은 폐자원, 골재판매, 폐기물 처리용역, 환경설비건설 및 폐배터리 재활용 등의 사업을 영위함."
577,139990,"동사는 Premium 영상가전(TV)용 컬러강판과 Premium 생활가전(냉장고, 세탁기, 오븐, 식기세척기 등)용 컬러강판 등을 개발 및 생산, 판매를 주요사업으로 영위함. 본사에서 보유하고 있는 설비 및 생산기술을 기반으로 삼성전자와 LG전자 등에 프리미엄급 가전제품용 컬러 강판을 납품함. 해외투자를 진행함에 따라 동사는 관련 해외거점을 기반으로 주요 고객사의 Needs에 부합하는 솔루션을 제공함."
578,009320,"동사는 2010년 아진산업에 인수되어 전장부품 개발 강화를 통해 전장매출 증가됨에 따라 기존 전자부품에서 자동차 전장부품으로 업종이 변경되었음. 주요 제품인 자동차 전장 부품 등을 생산하는 완성차 업계의 2차 공급업체로 국내 주요거래처로는 한온시스템, 에이치엘만도 주식회사, 현대모비스 등이 있음. 현대/기아차의 1차 협력사로  등록되어 전기차 배터리 승온 히터, PTC 히터 제품에 대해 직접적으로 현대/기아차에 공급을 하게됨."
579,001780,"동사는 현대알루미늄,알루텍,KPTU, 알루머티리얼즈 등의 계열사로 구성된 알루코 그룹의 주력 계열사임. 알루미늄 압출품 제조dhk 판매를 주로하는 알루미늄 압출 전문 회사로서 대전공장을 보유하고 있으며, 본사와 해외법인 및 계열회사는 알루미늄 제조 관련 사업으로 수직적 사업부문을 영위하고 있음. 영업부문은 시판영업, 직판영업, 특수영업, 디스플레이·EVC영업, 건축영업으로 구성됨."
